,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
80,/home/dominik/Links/SC2Reps/World of Sleepers LE (23).SC2Replay,2019-11-19 19:02:22+00:00,True,Protoss,Terran,3954.0,3570.0,&lt;EESC&gt;<sp/>penduloSFX,World of Sleepers LE,1003,384.0
81,/home/dominik/Links/SC2Reps/Acropolis LE (20).SC2Replay,2019-11-03 11:18:56+00:00,True,Protoss,Terran,3740.0,3784.0,&lt;DaGOAT&gt;<sp/>Sinus,Acropolis LE,352,-44.0
82,/home/dominik/Links/SC2Reps/Ever Dream LE (23).SC2Replay,2020-05-15 20:56:24+00:00,True,Protoss,Protoss,4006.0,3960.0,TerenceSkill,Ever Dream LE,745,46.0
83,/home/dominik/Links/SC2Reps/Nightshade LE (38).SC2Replay,2020-03-04 17:23:14+00:00,False,Protoss,Zerg,4153.0,4183.0,MothMonkey,Nightshade LE,385,-30.0
84,/home/dominik/Links/SC2Reps/Triton LE (6).SC2Replay,2019-10-29 09:14:41+00:00,True,Protoss,Protoss,3881.0,-36400.0,teror,Triton LE,455,40281.0
85,/home/dominik/Links/SC2Reps/Acropolis LE (13).SC2Replay,2019-10-31 18:19:19+00:00,False,Zerg,Protoss,3109.0,3109.0,minbear,Acropolis LE,115,0.0
86,/home/dominik/Links/SC2Reps/Ice and Chrome LE (20).SC2Replay,2020-07-09 16:33:34+00:00,True,Protoss,Terran,,,A.I. 1 (Elite),Ice and Chrome LE,610,
87,/home/dominik/Links/SC2Reps/Deathaura LE (39).SC2Replay,2020-07-31 14:45:00+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Deathaura LE,535,
88,/home/dominik/Links/SC2Reps/Ephemeron LE (22).SC2Replay,2019-11-19 19:33:09+00:00,True,Protoss,Zerg,3950.0,3859.0,YvanDuRêve,Ephemeron LE,1173,91.0
89,/home/dominik/Links/SC2Reps/Simulacrum LE (55).SC2Replay,2020-04-19 11:14:04+00:00,True,Protoss,Zerg,,,shadowofmich,Simulacrum LE,646,
90,/home/dominik/Links/SC2Reps/Golden Wall LE (6).SC2Replay,2020-04-17 20:26:10+00:00,False,Protoss,Protoss,4062.0,4093.0,&lt;HBGS&gt;<sp/>ShoWTimE,Golden Wall LE,297,-31.0
91,/home/dominik/Links/SC2Reps/Simulacrum LE (52).SC2Replay,2020-04-17 20:20:05+00:00,True,Protoss,Terran,4040.0,4080.0,&lt;Peeps&gt;<sp/>ReNoVation,Simulacrum LE,443,-40.0
92,/home/dominik/Links/SC2Reps/Simulacrum LE (24).SC2Replay,2020-01-19 18:19:18+00:00,True,Protoss,Terran,3989.0,3979.0,&lt;Dytred&gt;<sp/>EmpiRE,Simulacrum LE,879,10.0
93,/home/dominik/Links/SC2Reps/Ever Dream LE (16).SC2Replay,2020-05-01 12:37:24+00:00,True,Protoss,Zerg,3923.0,3770.0,&lt;HsDL&gt;<sp/>Zero,Ever Dream LE,805,153.0
94,/home/dominik/Links/SC2Reps/Golden Wall LE (4).SC2Replay,2020-03-18 12:57:49+00:00,True,Protoss,Terran,4040.0,4189.0,&lt;noIMBA&gt;<sp/>Facehugger,Golden Wall LE,865,-149.0
95,/home/dominik/Links/SC2Reps/Winter's Gate LE (3).SC2Replay,2019-10-11 09:19:52+00:00,True,Zerg,Terran,2952.0,-36400.0,indy,Winter's Gate LE,696,39352.0
96,/home/dominik/Links/SC2Reps/Nightshade LE (43).SC2Replay,2020-03-29 20:40:34+00:00,False,Protoss,Protoss,4022.0,4040.0,&lt;SCBoys&gt;<sp/>CiRkuS,Nightshade LE,867,-18.0
97,/home/dominik/Links/SC2Reps/Submarine LE (23).SC2Replay,2020-07-16 15:18:01+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,18,
98,/home/dominik/Links/SC2Reps/Ice and Chrome LE (32).SC2Replay,2020-07-29 17:27:32+00:00,False,Protoss,Zerg,4091.0,4072.0,Bartholomaus,Ice and Chrome LE,271,19.0
99,/home/dominik/Links/SC2Reps/Ice and Chrome LE (9).SC2Replay,2020-06-29 07:54:13+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Ice and Chrome LE,506,
100,/home/dominik/Links/SC2Reps/Ephemeron LE (38).SC2Replay,2020-02-10 19:20:59+00:00,True,Protoss,Protoss,3999.0,4072.0,Pablink,Ephemeron LE,692,-73.0
